MasterTable_ID,Alias,Latitude,Longitude,COncRT,ConcHr,Flow,W/S,W/D,AT,RHx,RHi,BV,FT,Alarm,Oceaneering Unit Voltage,Type,TimeStamp,PDate
76221091,USFS 1078,,,-0.005,0.002,16.7,1.8,61,21.6,60,32,13.9,28.2,0,,PM 2.5,3/6/2022 12:05:14 AM,3/6/2022 12:05:00 AM
76221742,USFS 1078,,,0.038,0.036,16.6,0.7,37,19.5,71,40,13.9,25.2,0,,PM 2.5,3/6/2022 1:05:13 AM,3/6/2022 1:05:00 AM
76222207,USFS 1078,,,0.081,0.067,16.7,0.6,18,18.2,80,44,13.9,23.6,0,,PM 2.5,3/6/2022 2:05:13 AM,3/6/2022 2:05:00 AM
76222653,USFS 1078,,,0.046,0.059,16.7,0.7,39,17.6,83,45,13.8,23.8,0,,PM 2.5,3/6/2022 3:05:13 AM,3/6/2022 3:05:00 AM
76223078,USFS 1078,,,0.043,0.037,16.7,0.6,28,16.8,86,45,13.8,23.8,0,,PM 2.5,3/6/2022 4:05:13 AM,3/6/2022 4:05:00 AM
76223526,USFS 1078,,,0.040,0.047,16.7,0.7,358,16.1,88,45,13.7,23.6,0,,PM 2.5,3/6/2022 5:05:13 AM,3/6/2022 5:05:00 AM
76223944,USFS 1078,,,-0.005,-0.005,16.7,0.7,8,15.8,90,45,13.7,23.7,0,,PM 2.5,3/6/2022 6:05:14 AM,3/6/2022 6:05:00 AM
76224412,USFS 1078,,,0.009,0.013,16.7,0.7,32,16.1,89,45,13.7,24.2,0,,PM 2.5,3/6/2022 7:05:14 AM,3/6/2022 7:06:00 AM
76224843,USFS 1078,,,-0.003,0.012,16.7,0.9,60,16.1,89,45,13.6,24.5,0,,PM 2.5,3/6/2022 8:05:14 AM,3/6/2022 8:05:00 AM
76225292,USFS 1078,,,-0.005,-0.005,16.7,1.1,75,15.9,90,45,13.6,24.7,0,,PM 2.5,3/6/2022 9:05:13 AM,3/6/2022 9:05:00 AM
76225714,USFS 1078,,,-0.005,-0.005,16.7,0.7,51,15.4,91,45,13.6,24.1,0,,PM 2.5,3/6/2022 10:05:13 AM,3/6/2022 10:05:00 AM
76226154,USFS 1078,,,0.003,0.013,16.7,0.5,312,14.8,92,45,13.7,23.6,0,,PM 2.5,3/6/2022 11:05:13 AM,3/6/2022 11:06:00 AM
76226581,USFS 1078,,,0.029,0.014,16.7,0.4,224,13.7,92,45,13.7,22.6,0,,PM 2.5,3/6/2022 12:05:14 PM,3/6/2022 12:05:00 PM
76227016,USFS 1078,,,0.002,0.022,16.7,0.3,238,13.7,92,45,13.7,22.6,0,,PM 2.5,3/6/2022 1:05:14 PM,3/6/2022 1:05:00 PM
76241846,USFS 1078,32.36403,-84.87868,,,,,,,,,,,,12.7,,3/7/2022 3:45:05 PM,3/7/2022 3:45:00 PM
76241859,USFS 1078,32.36405,-84.87868,,,,,,,,,,,,12.8,,3/7/2022 3:46:38 PM,3/7/2022 3:47:00 PM
76242072,USFS 1078,,,-0.000,-0.000,3.9,2.4,283,21.4,69,49,14.2,21.9,0,,PM 2.5,3/7/2022 4:05:14 PM,3/7/2022 4:06:00 PM
76242994,USFS 1078,32.36385,-84.87734,,,,,,,,,,,,12.3,,3/7/2022 5:48:27 PM,3/7/2022 5:48:00 PM
76243010,USFS 1078,,,-0.000,-0.000,3.9,2.4,283,21.4,69,49,14.2,21.9,0,,PM 2.5,3/7/2022 5:49:26 PM,3/7/2022 5:50:00 PM
76243158,USFS 1078,,,-0.000,0.310,11.4,5.1,338,25.2,56,42,14.0,28.1,256,,PM 2.5,3/7/2022 6:05:13 PM,3/7/2022 6:05:00 PM
76243865,USFS 1078,,,0.031,0.022,16.7,4.3,327,25.5,55,34,13.9,30.5,0,,PM 2.5,3/7/2022 7:05:13 PM,3/7/2022 7:05:00 PM
76244418,USFS 1078,,,-0.005,0.012,16.7,3.9,329,26.0,53,31,14.0,31.7,0,,PM 2.5,3/7/2022 8:05:13 PM,3/7/2022 8:05:00 PM
76244969,USFS 1078,,,0.032,0.026,16.7,2.8,310,25.8,52,30,13.9,31.6,0,,PM 2.5,3/7/2022 9:05:14 PM,3/7/2022 9:05:00 PM
76245493,USFS 1078,,,-0.005,-0.005,16.7,2.9,193,23.7,62,35,13.9,29.7,0,,PM 2.5,3/7/2022 10:05:13 PM,3/7/2022 10:05:00 PM
76246539,USFS 1078,,,0.032,0.024,16.7,1.8,162,21.1,79,43,13.7,28.1,0,,PM 2.5,3/7/2022 11:05:13 PM,3/7/2022 11:05:00 PM
76247784,USFS 1078,,,0.010,0.026,16.7,1.4,156,19.9,86,45,13.7,28.8,0,,PM 2.5,3/8/2022 12:05:13 AM,3/8/2022 12:05:00 AM
76248682,USFS 1078,,,0.023,-0.005,16.6,1.1,264,17.6,82,44,14.0,25.2,0,,PM 2.5,3/8/2022 1:05:14 AM,3/8/2022 1:05:00 AM
76249104,USFS 1078,,,0.006,0.016,16.7,0.5,345,16.3,81,44,14.0,23.0,0,,PM 2.5,3/8/2022 2:05:13 AM,3/8/2022 2:05:00 AM
76249543,USFS 1078,,,0.035,0.034,16.7,0.5,16,16.2,81,44,14.0,22.8,0,,PM 2.5,3/8/2022 3:05:14 AM,3/8/2022 3:05:00 AM
76249979,USFS 1078,,,0.018,0.014,16.7,0.5,172,16.2,80,44,14.0,22.5,0,,PM 2.5,3/8/2022 4:05:13 AM,3/8/2022 4:05:00 AM
76250408,USFS 1078,,,-0.005,-0.005,16.7,0.5,191,16.1,82,45,14.0,22.7,0,,PM 2.5,3/8/2022 5:05:13 AM,3/8/2022 5:05:00 AM
76250830,USFS 1078,,,-0.001,0.004,16.7,0.5,275,15.3,85,45,13.9,22.9,0,,PM 2.5,3/8/2022 6:05:14 AM,3/8/2022 6:05:00 AM
76251274,USFS 1078,,,0.002,-0.004,16.7,0.6,250,15.1,87,45,13.9,23.1,0,,PM 2.5,3/8/2022 7:05:13 AM,3/8/2022 7:05:00 AM
76251693,USFS 1078,,,0.022,0.022,16.7,0.6,255,14.4,88,45,13.8,23.1,0,,PM 2.5,3/8/2022 8:05:13 AM,3/8/2022 8:05:00 AM
76252140,USFS 1078,,,-0.005,-0.005,16.7,0.5,280,14.1,89,45,13.8,22.7,0,,PM 2.5,3/8/2022 9:05:14 AM,3/8/2022 9:06:00 AM
76252553,USFS 1078,,,-0.005,-0.005,16.7,1.0,264,13.7,82,45,13.9,20.7,0,,PM 2.5,3/8/2022 10:05:14 AM,3/8/2022 10:05:00 AM
76253002,USFS 1078,,,0.001,0.012,16.7,1.0,280,12.8,79,45,13.9,19.3,0,,PM 2.5,3/8/2022 11:05:14 AM,3/8/2022 11:05:00 AM
76253773,USFS 1078,,,0.005,0.005,16.7,0.8,294,12.5,79,45,13.9,19.0,0,,PM 2.5,3/8/2022 12:05:13 PM,3/8/2022 12:05:00 PM
76254741,USFS 1078,,,0.027,0.024,16.7,0.7,299,12.3,79,45,13.9,18.5,0,,PM 2.5,3/8/2022 1:05:14 PM,3/8/2022 1:05:00 PM
76255733,USFS 1078,,,0.011,0.008,16.7,0.8,289,12.5,78,44,13.9,18.7,0,,PM 2.5,3/8/2022 2:05:14 PM,3/8/2022 2:05:00 PM
76256320,USFS 1078,,,-0.005,-0.002,16.7,0.8,301,12.8,78,44,13.8,19.4,0,,PM 2.5,3/8/2022 3:05:13 PM,3/8/2022 3:06:00 PM
76256968,USFS 1078,,,0.026,0.028,16.7,1.0,290,13.7,76,42,13.9,20.5,0,,PM 2.5,3/8/2022 4:05:13 PM,3/8/2022 4:05:00 PM
76257851,USFS 1078,,,0.006,0.002,16.7,1.0,300,14.5,72,39,13.9,21.6,0,,PM 2.5,3/8/2022 5:05:13 PM,3/8/2022 5:09:00 PM
76258540,USFS 1078,,,-0.003,0.001,16.7,1.0,305,15.5,68,37,14.0,22.3,0,,PM 2.5,3/8/2022 6:05:13 PM,3/8/2022 6:06:00 PM
76259567,USFS 1078,,,-0.005,-0.005,16.7,0.7,293,14.9,70,37,14.0,22.2,0,,PM 2.5,3/8/2022 7:05:14 PM,3/8/2022 7:06:00 PM
76260429,USFS 1078,,,0.014,0.020,16.7,0.7,291,13.1,86,45,13.7,21.3,0,,PM 2.5,3/8/2022 8:05:14 PM,3/8/2022 8:05:00 PM
76261120,USFS 1078,,,0.002,-0.004,16.7,0.8,301,13.1,88,45,13.7,22.2,0,,PM 2.5,3/8/2022 9:05:13 PM,3/8/2022 9:05:00 PM
76261949,USFS 1078,,,0.008,0.013,16.7,0.9,272,13.2,87,45,13.8,21.8,0,,PM 2.5,3/8/2022 10:05:13 PM,3/8/2022 10:05:00 PM
76263151,USFS 1078,,,0.020,0.015,16.7,0.8,294,13.2,85,45,13.9,20.8,0,,PM 2.5,3/8/2022 11:05:14 PM,3/8/2022 11:06:00 PM
76264440,USFS 1078,,,-0.002,0.005,16.7,0.7,298,13.0,83,45,13.9,20.1,0,,PM 2.5,3/9/2022 12:05:14 AM,3/9/2022 12:05:00 AM
76265307,USFS 1078,,,-0.000,-0.005,16.6,0.6,318,12.3,85,45,13.9,20.5,0,,PM 2.5,3/9/2022 1:05:13 AM,3/9/2022 1:06:00 AM
76265803,USFS 1078,,,0.016,0.010,16.7,0.7,307,11.6,87,45,13.8,20.3,0,,PM 2.5,3/9/2022 2:05:13 AM,3/9/2022 2:05:00 AM
