MasterTable_ID,Alias,Latitude,Longitude,COncRT,ConcHr,Flow,W/S,W/D,AT,RHx,RHi,BV,FT,Alarm,Oceaneering Unit Voltage,Type,TimeStamp,PDate,Date/Time/GMT
76221094,USFS 1079,,,0.028,0.028,16.7,2.5,137,22.2,66,33,14,24.6,0,,PM 2.5,3/6/22 0:05,3/6/22 0:05,3/6/22 0:05
76221744,USFS 1079,,,0.011,0.005,16.6,2.1,135,20.5,75,40,14.1,22,0,,PM 2.5,3/6/22 1:05,3/6/22 1:06,3/6/22 1:06
76222211,USFS 1079,,,0.003,0.003,16.7,1.7,127,19.3,82,44,14,20.7,0,,PM 2.5,3/6/22 2:05,3/6/22 2:06,3/6/22 2:06
76222660,USFS 1079,,,0.005,0.005,16.7,1.6,125,18.3,88,45,13.9,21.2,0,,PM 2.5,3/6/22 3:05,3/6/22 3:05,3/6/22 3:05
76223081,USFS 1079,,,0.009,0.01,16.7,1.4,129,17.6,92,45,13.9,21.4,0,,PM 2.5,3/6/22 4:05,3/6/22 4:05,3/6/22 4:05
76223524,USFS 1079,,,0.01,0.013,16.7,0.9,125,16.8,95,45,13.9,20.9,0,,PM 2.5,3/6/22 5:05,3/6/22 5:05,3/6/22 5:05
76223943,USFS 1079,,,0.01,0.004,16.7,1,137,16.2,96,45,13.9,20.6,0,,PM 2.5,3/6/22 6:05,3/6/22 6:05,3/6/22 6:05
76224407,USFS 1079,,,0.015,0.02,16.7,0.4,167,15.7,97,45,14,19.6,0,,PM 2.5,3/6/22 7:05,3/6/22 7:06,3/6/22 7:06
76224841,USFS 1079,,,0.057,0.054,16.7,0.6,154,15.2,97,45,13.9,19.3,0,,PM 2.5,3/6/22 8:05,3/6/22 8:05,3/6/22 8:05
76225290,USFS 1079,,,0.017,0.028,16.7,0.6,185,15.3,98,45,13.9,19.3,0,,PM 2.5,3/6/22 9:05,3/6/22 9:05,3/6/22 9:05
76225715,USFS 1079,,,0.041,0.028,16.7,0.5,155,14.9,98,45,13.9,18.8,0,,PM 2.5,3/6/22 10:05,3/6/22 10:05,3/6/22 10:05
76226155,USFS 1079,,,0.051,0.057,16.7,0.3,174,14.2,98,45,13.9,18,0,,PM 2.5,3/6/22 11:05,3/6/22 11:06,3/6/22 11:06
76227716,USFS 1079,,,0.051,0.057,16.7,0.3,174,14.2,98,45,13.9,18,0,,PM 2.5,3/6/22 14:22,3/6/22 14:23,3/6/22 14:23
76227717,USFS 1079,32.0654,-81.86198,,,,,,,,,,,,13.6,,3/6/22 14:23,3/6/22 14:23,3/6/22 14:23
76245022,USFS 1079,,,0.051,0.057,16.7,0.3,174,14.2,98,45,13.9,18,0,,PM 2.5,3/7/22 21:11,3/7/22 21:11,3/7/22 21:11
76245023,USFS 1079,32.41901,-84.77392,,,,,,,,,,,,12.7,,3/7/22 21:11,3/7/22 21:12,3/7/22 21:12
76245492,USFS 1079,,,0,0.01,13.5,1.5,234,22.8,73,42,14,24.8,256,,PM 2.5,3/7/22 22:05,3/7/22 22:05,3/7/22 22:05
76246541,USFS 1079,,,0.026,0.019,16.7,0.7,231,21,95,45,14,25.2,0,,PM 2.5,3/7/22 23:05,3/7/22 23:05,3/7/22 23:05
76247781,USFS 1079,,,0.018,0.014,16.7,0.8,211,20.5,96,45,14,24.8,0,,PM 2.5,3/8/22 0:05,3/8/22 0:05,3/8/22 0:05
76248683,USFS 1079,,,0.022,0.029,16.6,1.5,304,18,89,43,14.1,21.6,0,,PM 2.5,3/8/22 1:05,3/8/22 1:05,3/8/22 1:05
76249107,USFS 1079,,,0.009,0.005,16.7,0.5,142,16.9,89,44,14.1,19.6,0,,PM 2.5,3/8/22 2:05,3/8/22 2:05,3/8/22 2:05
76249539,USFS 1079,,,0.001,0.005,16.7,0.6,188,16.5,93,45,14.1,19.8,0,,PM 2.5,3/8/22 3:05,3/8/22 3:05,3/8/22 3:05
76249978,USFS 1079,,,0.005,-0.003,16.7,0.5,182,16.4,94,45,14.1,19.9,0,,PM 2.5,3/8/22 4:05,3/8/22 4:05,3/8/22 4:05
76250414,USFS 1079,,,0.049,0.06,16.7,0.4,184,16.4,95,45,14.1,19.8,0,,PM 2.5,3/8/22 5:05,3/8/22 5:05,3/8/22 5:05
76250829,USFS 1079,,,0.035,0.032,16.7,0.6,155,16,94,44,14.1,19.2,0,,PM 2.5,3/8/22 6:05,3/8/22 6:05,3/8/22 6:05
76251272,USFS 1079,,,0.039,0.044,16.7,0.4,164,15.6,97,45,14,19,0,,PM 2.5,3/8/22 7:05,3/8/22 7:05,3/8/22 7:05
